epoch,step,train_loss
0,19,0.05478179082274437
0,39,0.03499630093574524
0,59,0.033129289746284485
0,79,0.03202063590288162
0,99,0.032028842717409134
0,119,0.03162086382508278
0,139,0.03665284439921379
1,159,0.03803227096796036
1,179,0.03395986557006836
1,199,0.03425230830907822
1,219,0.03296738490462303
1,239,0.030959300696849823
1,259,0.025444138795137405
1,279,0.030554698780179024
2,299,0.029052019119262695
2,319,0.02966078370809555
2,339,0.030349770560860634
2,359,0.03098304569721222
2,379,0.03188326209783554
2,399,0.0308323185890913
2,419,0.03958764299750328
3,439,0.04267139732837677
3,459,0.028106683865189552
3,479,0.027050239965319633
3,499,0.025565210729837418
3,519,0.02404404804110527
3,539,0.029796648770570755
3,559,0.024820612743496895
3,579,0.03267279267311096
4,599,0.027654148638248444
4,619,0.033037565648555756
4,639,0.032177798449993134
4,659,0.024469729512929916
4,679,0.036987122148275375
4,699,0.03379978612065315
4,719,0.03032611683011055
5,739,0.0379750058054924
5,759,0.022984642535448074
5,779,0.02897428162395954
5,799,0.025079190731048584
5,819,0.04138278216123581
5,839,0.022549506276845932
5,859,0.027792377397418022
6,879,0.021690955385565758
6,899,0.026623215526342392
6,919,0.02389804646372795
6,939,0.028304260224103928
6,959,0.03926055133342743
6,979,0.03569486364722252
6,999,0.024249624460935593
6,1019,0.026090510189533234
7,1039,0.026509923860430717
7,1059,0.026873493567109108
7,1079,0.028829174116253853
7,1099,0.03611867502331734
7,1119,0.02545713447034359
7,1139,0.02103242091834545
7,1159,0.03739713132381439
8,1179,0.0337323360145092
8,1199,0.03530919924378395
8,1219,0.027321919798851013
8,1239,0.02972402609884739
8,1259,0.02823929488658905
8,1279,0.02410639449954033
8,1299,0.031702473759651184
9,1319,0.031080108135938644
9,1339,0.03605024889111519
9,1359,0.02471422776579857
9,1379,0.025111161172389984
9,1399,0.023762838914990425
